,last_price,adv_usd,n_days,missing,eligible,name,sector,tier
CALM,87.77999877929688,58588717.05932617,1255,0.0,True,"Cal-Maine Foods, Inc.",Consumer Staples,small
MUR,39.7400016784668,58498608.25805664,1255,0.0,True,Murphy Oil,Energy,mid
BKH,71.20999908447266,58072172.65701294,1255,0.0,True,Black Hills Corporation,Utilities,mid
EXTR,30.139999389648438,57946098.51646423,1255,0.0,True,"Extreme Networks, Inc.",Information Technology,small
FLG,14.220000267028809,57916414.705467224,1255,0.0,True,Flagstar Bank,Financials,mid
NOG,21.149999618530273,57823262.986564636,1255,0.0,True,"Northern Oil and Gas, Inc.",Energy,small
KBH,54.970001220703125,57662953.438568115,1255,0.0,True,KB Home,Consumer Discretionary,mid
KRG,28.6200008392334,57369119.396972656,1255,0.0,True,Kite Realty Group Trust,Real Estate,mid
HOG,24.540000915527344,57149657.83596039,1255,0.0,True,Harley-Davidson,Consumer Discretionary,mid
ARR,16.469999313354492,56946546.42791748,1255,0.0,True,Armour Residential REIT,Real Estate,small
KBR,36.61000061035156,56876536.211013794,1255,0.0,True,"KBR, Inc.",Industrials,mid
XRAY,13.369999885559082,56805136.698532104,1255,0.0,True,Dentsply Sirona,Health Care,mid
ATR,133.9600067138672,56767329.27246094,1255,0.0,True,AptarGroup,Materials,mid
CWST,89.70999908447266,56637879.737091064,1255,0.0,True,"Casella Waste Systems, Inc.",Industrials,small
POR,49.33000183105469,56374959.76409912,1255,0.0,True,Portland General Electric,Utilities,mid
KTB,83.73999786376953,56239400.0,1255,0.0,True,Kontoor Brands,Consumer Discretionary,small
MC,67.08000183105469,56042170.04394531,1255,0.0,True,Moelis & Company,Financials,small
PENN,20.530000686645508,55767430.84335327,1255,0.0,True,Penn Entertainment,Consumer Discretionary,small
GPI,286.7699890136719,55705783.337402344,1255,0.0,True,"Group 1 Automotive, Inc.",Consumer Discretionary,small
PI,151.36000061035156,55272683.013916016,1255,0.0,True,"Impinj, Inc.",Information Technology,small
DIOD,82.31999969482422,55219679.24499512,1255,0.0,True,Diodes Incorporated,Information Technology,small
ACA,145.1999969482422,55196970.458984375,1255,0.0,True,"Arcosa, Inc.",Industrials,small
AXTA,35.810001373291016,55174205.90057373,1255,0.0,True,Axalta,Materials,mid
NFG,82.30999755859375,54571209.68170166,1255,0.0,True,National Fuel Gas,Utilities,mid
TNL,76.0199966430664,54485766.11022949,1255,0.0,True,Travel + Leisure Co.,Consumer Discretionary,mid
ESAB,86.52999877929688,54460801.808166504,1089,0.0,True,ESAB,Industrials,mid
